Cities of France	Postal code
La Collancelle 	58800
La Fermeté 	58160
La Machine 	58260
La Maison-Dieu 	58190
La Marche 	58400
La Nocle-Maulaix 	58250
Lamenay-sur-Loire 	58300
Langeron 	58240
Lanty 	58250
Larochemillay 	58370
Lavault-de-Frétoy 	58230
Limanton 	58290
Limon 	58270
Livry 	58240
Lormes 	58140
Lucenay-lès-Aix 	58380
Lurcy-le-Bourg 	58700
Luthenay-Uxeloup 	58240
Luzy 	58170
Lys 	58190
Magny-Cours 	58470
Magny-Lormes 	58800
Marcy 	58210
Marigny-l'Eglise 	58140
Marigny-sur-Yonne 	58800
Mars-sur-Allier 	58240
Marzy 	58180
Maux 	58290
Menestreau 	58410
Menou 	58210
Mesves-sur-Loire 	58400
Metz-le-Comte 	58190
Mhère 	58140
Michaugues 	58420
Millay 	58170
Moissy-Moulinot 	58190
Monceaux-le-Comte 	58190
Mont-et-Marré 	58110
Montambert 	58250
Montapas 	58110
Montaron 	58250
Montenoison 	58700
Montigny-aux-Amognes 	58130
Montigny-en-Morvan 	58120
Montigny-sur-Canne 	58340
Montreuillon 	58800
Montsauche-les-Settons 	58230
Moraches 	58420
Moulins-Engilbert 	58290
Mouron-sur-Yonne 	58800
Moussy 	58700
Moux-en-Morvan 	58230
Murlin 	58700
Myennes 	58440
Nannay 	58350
Narcy 	58400
Neuffontaines 	58190
Neuilly 	58420
Neuville-lès-Decize 	58300
Neuvy-sur-Loire 	58450
Nevers 	58000
Nolay 	58700
Nuars 	58190
Oisy 	58500
Onlay 	58370
Ouagne 	58500
Oudan 	58210
Ougny 	58110
Oulon 	58700
Ourouër 	58130
Ouroux-en-Morvan 	58230
Parigny-la-Rose 	58210
Parigny-les-Vaux 	58320
Pazy 	58800
Perroy 	58220
Planchez 	58230
Poil 	58170
Poiseux 	58130
Pougny 	58200
Pougues-les-Eaux 	58320
Pouilly-sur-Loire 	58150
Pouques-Lormes 	58140
Pousseaux 	58500
Prémery 	58700
Préporché 	58360
Raveau 	58400
Rémilly 	58250
Rix 	58500
Rouy 	58110
Ruages 	58190
Saincaize-Meauce 	58470
Saint-Agnan 	58230
Saint-Amand-en-Puisaye 	58310
Saint-Andelain 	58150
Saint-André-en-Morvan 	58140
Saint-Aubin-des-Chaumes 	58190
Saint-Aubin-les-Forges 	58130
Saint-Benin-d'Azy 	58270
Saint-Benin-des-Bois 	58330
Saint-Bonnot 	58700
Saint-Brisson 	58230
Saint-Didier 	58190
Saint-Eloi 	58000
Saint-Firmin 	58270
Saint-Franchy 	58330
Saint-Germain-Chassenay 	58300
Saint-Germain-des-Bois 	58210
Saint-Gratien-Savigny 	58340
Saint-Hilaire-en-Morvan 	58120
Saint-Hilaire-Fontaine 	58300
Saint-Honoré-les-Bains 	58360
Saint-Jean-aux-Amognes 	58270
Saint-Laurent-l'Abbaye 	58150
Saint-Léger-de-Fougeret 	58120
Saint-Léger-des-Vignes 	58300
Saint-Loup 	58200
Saint-Malo-en-Donziois 	58350
Saint-Martin-d'Heuille 	58130
Saint-Martin-du-Puy 	58140
Saint-Martin-sur-Nohain 	58150
Saint-Maurice 	58330
Saint-Ouen-sur-Loire 	58160
Saint-Parize-en-Viry 	58300
Saint-Parize-le-Châtel 	58490
Saint-Père 	58200
Saint-Péreuse 	58110
Saint-Pierre-du-Mont 	58210
Saint-Pierre-le-Moûtier 	58240
Saint-Quentin-sur-Nohain 	58150
Saint-Révérien 	58420
Saint-Saulge 	58330
Saint-Seine 	58250
Saint-Sulpice 	58270
Saint-Vérain 	58310
Sainte-Colombe-des-Bois 	58220
Sainte-Marie 	58330
Saizy 	58190
Sardy-lès-Epiry 	58800
Sauvigny-les-Bois 	58160
Savigny-Poil-Fol 	58170
Saxi-Bourdon 	58330
Sémelay 	58360
Sermages 	58290
Sermoise-sur-Loire 	58000
Sichamps 	58700
Sougy-sur-Loire 	58300
Suilly-la-Tour 	58150
Surgy 	58500
Taconnay 	58420
Talon 	58190
Tamnay-en-Bazois 	58110
Tannay 	58190
Tazilly 	58170
Teigny 	58190
Ternant 	58250
Thaix 	58250
Thianges 	58260
Tintury 	58110
Toury-Lurcy 	58300
Toury-sur-Jour 	58240
Tracy-sur-Loire 	58150
Tresnay 	58240
Trois-Vèvres 	58260
Tronsanges 	58400
Trucy-l'Orgueilleux 	58460
Urzy 	58130
Vandenesse 	58290
Varennes-lès-Narcy 	58400
Varennes-Vauzelles 	58640
Varzy 	58210
Vauclaix 	58140
Verneuil 	58300
Vielmanay 	58150
Vignol 	58190
Villapourçon 	58370
Ville Château-Chinon 	58120
Ville-Langy 	58270
Villiers-le-Sec 	58210
Villiers-sur-Yonne 	58500
Vitry-Laché 	58420
Saône-et-Loire	28861
Allerey-sur-Saône 	71350
Allériot 	71380
Aluze 	71510
Amanzé 	71800
Ameugny 	71460
Anglure-sous-Dun 	71170
Anost 	71550
Antully 	71400
Anzy-le-Duc 	71110
Artaix 	71110
Authumes 	71270
Autun 	71400
Auxy 	71400
Azé 	71260
Ballore 	71220
Bantanges 	71500
Barizey 	71640
Barnay 	71540
Baron 	71120
Baudemont 	71800
Baudrières 	71370
Baugy 	71110
Beaubery 	71220
Beaumont-sur-Grosne 	71240
Beaurepaire-en-Bresse 	71580
Beauvernois 	71270
Bellevesvre 	71270
Bergesserin 	71250
Berzé-la-Ville 	71960
Berzé-le-Châtel 	71960
Bey 	71620
Bissey-sous-Cruchaud 	71390
Bissy-la-Mâconnaise 	71260
Bissy-sous-Uxelles 	71460
Bissy-sur-Fley 	71460
Blanot 	71250
Blanzy 	71450
Bois-Sainte-Marie 	71800
Bonnay 	71460
Bosjean 	71330
Bouhans 	71330
Bourbon-Lancy 	71140
Bourg-le-Comte 	71110
Bourgvilain 	71520
Bouzeron 	71150
Boyer 	71700
Bragny-sur-Saône 	71350
Brandon 	71520
Branges 	71500
Bray 	71250
Bresse-sur-Grosne 	71460
Briant 	71110
Brienne 	71290
Brion 	71190
Broye 	71190
Bruailles 	71500
Buffières 	71250
Burgy 	71260
Burnand 	71460
Burzy 	71460
Bussières 	71960
Buxy 	71390
Céron 	71110
Cersot 	71390
Chagny 	71150
Chaintré 	71570
Chalmoux 	71140
Chalon-sur-Saône 	71100
Chambilly 	71110
Chamilly 	71510
Champagnat 	71480
Champagny-sous-Uxelles 	71460
Champforgeuil 	71530
Champlecy 	71120
Chânes 	71570
Change 	21340
Changy 	71120
Chapaize 	71460
Charbonnat 	71320
Charbonnières 	71260
Chardonnay 	71700
Charette-Varennes 	71270
Charmoy 	71710
Charnay-lès-Chalon 	71350
Charnay-lès-Mâcon 	71850
Charolles 	71120
Charrecey 	71510
Chasselas 	71570
Chassey-le-Camp 	71150
Chassigny-sous-Dun 	71170
Chassy 	71130
Château 	71250
Châteauneuf 	71740
Châtel-Moron 	71510
Châtenay 	71800
Châtenoy-en-Bresse 	71380
Châtenoy-le-Royal 	71880
Chaudenay 	71150
Chauffailles 	71170
Cheilly-lès-Maranges 	71150
Chenay-le-Châtel 	71340
Chenôves 	71390
Chérizet 	71250
Chevagny-les-Chevrières 	71960
Chevagny-sur-Guye 	71220
Chiddes 	71220
Chissey-en-Morvan 	71540
Chissey-lès-Mâcon 	71460
Ciel 	71350
Ciry-le-Noble 	71420
Clermain 	71520
Clessé 	71260
Clessy 	71130
Cluny 	71250
Clux 	71270
Collonge-en-Charollais 	71460
Collonge-la-Madeleine 	71360
Colombier-en-Brionnais 	71800
Condal 	71480
Cordesse 	71540
Cormatin 	71460
Cortambert 	71250
Cortevaix 	71460
Coublanc 	71170
Couches 	71490
Crêches-sur-Saône 	71680
Créot 	71490
Cressy-sur-Somme 	71760
Crissey 	71530
Cronat 	71140
Cruzille 	71260
Cuiseaux 	71480
Cuisery 	71290
Culles-les-Roches 	71460
Curbigny 	71800
Curdin 	71130
Curgy 	71400
Curtil-sous-Buffières 	71520
Curtil-sous-Burnand 	71460
Cussy-en-Morvan 	71550
Cuzy 	71320
Damerey 	71620
Dampierre-en-Bresse 	71310
Davayé 	71960
Demigny 	71150
Dennevy 	71510
Dettey 	71190
Devrouze 	71330
Dezize-lès-Maranges 	71150
Diconne 	71330
Digoin 	71160
Dommartin-lès-Cuiseaux 	71480
Dompierre-les-Ormes 	71520
Dompierre-sous-Sanvignes 	71420
Donzy-le-National 	71250
Donzy-le-Pertuis 	71250
Dracy-le-Fort 	71640
Dracy-lès-Couches 	71490
Dracy-Saint-Loup 	71400
Dyo 	71800
Ecuelles 	71350
Ecuisses 	71210
Epertully 	71360
Epervans 	71380
Epinac 	71360
Essertenne 	71510
Etang-sur-Arroux 	71190
Etrigny 	71240
Farges-lès-Chalon 	71150
Farges-lès-Mâcon 	71700
Flacey-en-Bresse 	71580
Flagy 	71250
Fleurville 	71260
Fleury-la-Montagne 	71340
Fley 	71390
Fontaines 	71150
Fontenay 	71120
Fragnes 	71530
Frangy-en-Bresse 	71330
Fretterans 	71270
Frontenard 	71270
Frontenaud 	71580
Fuissé 	71960
Génelard 	71420
Genouilly 	71460
Gergy 	71590
Germagny 	71460
Germolles-sur-Grosne 	71520
Gibles 	71800
Gigny-sur-Saône 	71240
Gilly-sur-Loire 	71160
Givry 	71640
Gourdon 	71300
Grandvaux 	71430
Granges 	71390
Grevilly 	71700
Grury 	71760
Guerfand 	71620
Gueugnon 	71130
Hautefond 	71600
Huilly-sur-Seille 	71290
Hurigny 	71870
Igé 	71960
Igornay 	71540
Iguerande 	71340
Issy-l'Evêque 	71760
Jalogny 	71250
Jambles 	71640
Joncy 	71460
Joudes 	71480
Jouvençon 	71290
Jugy 	71240
Juif 	71440
Jully-lès-Buxy 	71390
L'Abergement-de-Cuisery 	71290
L'Abergement-Sainte-Colombe 	71370
L'Hôpital-le-Mercier 	71600
La Boulaye 	71320
La Celle-en-Morvan 	71400
La Chapelle-au-Mans 	71130
La Chapelle-de-Bragny 	71240
La Chapelle-de-Guinchay 	71570
La Chapelle-du-Mont-de-France 	71520
La Chapelle-Naude 	71500
La Chapelle-Saint-Sauveur 	71310
La Chapelle-sous-Brancion 	71700
La Chapelle-sous-Dun 	71800
La Chapelle-sous-Uchon 	71190
La Chapelle-Thècle 	71470
La Charmée 	71100
La Chaux 	71310
La Clayette 	71800
La Comelle 	71990
La Frette 	71440
La Genête 	71290
La Grande-Verrière 	71990
La Guiche 	71220
La Loyère 	71530
La Motte-Saint-Jean 	71160
La Petite-Verrière 	71400
La Racineuse 	71310
La Roche-Vineuse 	71960
La Salle 	71260
La Tagnière 	71190
La Truchère 	71290
La Villeneuve 	71270
La Vineuse 	71250
Lacrost 	71700
Laives 	71240
Laizé 	71870
Laizy 	71190
Lalheue 	71240
Lans 	71380
Lays-sur-le-Doubs 	71270
Le Breuil 	71670
Le Creusot 	71200
Le Fay 	71580
Le Miroir 	71480
Le Planois 	71330
Le Puley 	71460
Le Rousset 	71220
Le Tartre 	71330
Le Villars 	71700
Les Bizots 	71710
Les Bordes 	71350
Les Guerreaux 	71160
Lesme 	71140
Lessard-en-Bresse 	71440
Lessard-le-National 	71530
Leynes 	71570
Ligny-en-Brionnais 	71110
Loisy 	71290
Longepierre 	71270
Louhans 	71500
Lournand 	71250
Lucenay-l'Evêque 	71540
Lugny 	71260
Lugny-lès-Charolles 	71120
Lux 	71100
Mâcon 	71000
Mailly 	71340
Malay 	71460
Maltat 	71140
Mancey 	71240
Marcigny 	71110
Marcilly-la-Gueurce 	71120
Marcilly-lès-Buxy 	71390
Marigny 	71300
Marizy 	71220
Marly-sous-Issy 	71760
Marly-sur-Arroux 	71420
Marmagne 	71710
Marnay 	71240
Martailly-lès-Brancion 	71700
Martigny-le-Comte 	71220
Mary 	71300
Massilly 	71250
Massy 	71250
Matour 	71520
Mazille 	71250
Melay 	71340
Mellecey 	71640
Ménetreuil 	71470
Mercurey 	71640
Mervans 	71310
Messey-sur-Grosne 	71390
Mesvres 	71190
Milly-Lamartine 	71960
Mont 	71140
Mont-lès-Seurre 	71270
Mont-Saint-Vincent 	71300
Montagny-lès-Buxy 	71390
Montagny-près-Louhans 	71500
Montagny-sur-Grosne 	71520
Montbellet 	71260
Montceau-les-Mines 	71300
Montceaux-l'Etoile 	71110
Montceaux-Ragny 	71240
Montcenis 	71710
Montchanin 	71210
Montcony 	71500
Montcoy 	71620
Monthelon 	71400
Montjay 	71310
Montmelard 	71520
Montmort 	71320
Montpont-en-Bresse 	71470
Montret 	71440
Morey 	71510
Morlet 	71360
Mornay 	71220
Moroges 	71390
Mouthier-en-Bresse 	71270
Mussy-sous-Dun 	71170
Nanton 	71240
Navilly 	71270
Neuvy-Grandchamp 	71130
Nochize 	71600
Ormes 	71290
Oslon 	71380
Oudry 	71420
Ouroux-sous-le-Bois-Sainte-Marie 	71800
Ouroux-sur-Saône 	71370
Oyé 	71800
Ozenay 	71700
Ozolles 	71120
Palinges 	71430
Palleau 	71350
Paray-le-Monial 	71600
Paris-l'Hôpital 	71150
Passy 	71220
Péronne 	71260
Perrecy-les-Forges 	71420
Perreuil 	71510
Perrigny-sur-Loire 	71160
Pierre-de-Bresse 	71270
Pierreclos 	71960
Plottes 	71700
Poisson 	71600
Pontoux 	71270
Pouilloux 	71230
Pourlans 	71270
Pressy-sous-Dondin 	71220
Préty 	71290
Prissé 	71960
Prizy 	71800
Pruzilly 	71570
Rancy 	71290
Ratenelle 	71290
Ratte 	71500
Reclesne 	71540
Remigny 	71150
Rigny-sur-Arroux 	71160
Romanèche-Thorins 	71570
Romenay 	71470
Rosey 	71390
Roussillon-en-Morvan 	71550
Royer 	71700
Rully 	71150
Sagy 	71580
Saillenard 	71580
Sailly 	71250
Saint-Agnan 	71160
Saint-Albain 	71260
Saint-Ambreuil 	71240
Saint-Amour-Bellevue 	71570
Saint-André-en-Bresse 	71440
Saint-André-le-Désert 	71220
Saint-Aubin-en-Charollais 	71430
Saint-Aubin-sur-Loire 	71140
Saint-Berain-sous-Sanvignes 	71300
Saint-Bérain-sur-Dheune 	71510
Saint-Boil 	71390
Saint-Bonnet-de-Cray 	71340
Saint-Bonnet-de-Joux 	71220
Saint-Bonnet-de-Vieille-Vigne 	71430
Saint-Bonnet-en-Bresse 	71310
Saint-Christophe-en-Bresse 	71370
Saint-Christophe-en-Brionnais 	71800
Saint-Clément-sur-Guye 	71460
Saint-Cyr 	71240
Saint-Denis-de-Vaux 	71640
Saint-Désert 	71390
Saint-Didier-en-Bresse 	71620
Saint-Didier-en-Brionnais 	71110
Saint-Didier-sur-Arroux 	71190
Saint-Edmond 	71740
Saint-Emiland 	71490
Saint-Etienne-en-Bresse 	71370
Saint-Eugène 	71190
Saint-Eusèbe 	71210
Saint-Firmin 	71670
Saint-Forgeot 	71400
Saint-Gengoux-de-Scissé 	71260
Saint-Gengoux-le-National 	71460
Saint-Germain-du-Bois 	71330
Saint-Germain-du-Plain 	71370
Saint-Germain-en-Brionnais 	71800
Saint-Germain-lès-Buxy 	71390
Saint-Gervais-en-Vallière 	71350
Saint-Gervais-sur-Couches 	71490
Saint-Gilles 	71510
Saint-Huruge 	71460
Saint-Igny-de-Roche 	71170
Saint-Jean-de-Trézy 	71490
Saint-Jean-de-Vaux 	71640
Saint-Julien-de-Civry 	71800
Saint-Julien-de-Jonzy 	71110
Saint-Julien-sur-Dheune 	71210
Saint-Laurent-d'Andenay 	71210
Saint-Laurent-en-Brionnais 	71800
Saint-Léger-du-Bois 	71360
Saint-Léger-lès-Paray 	71600
Saint-Léger-sous-Beuvray 	71990
Saint-Léger-sous-la-Bussière 	71520
Saint-Léger-sur-Dheune 	71510
Saint-Loup-de-Varennes 	71240
Saint-Loup-Géanges 	71350
Saint-Marcel 	71380
Saint-Marcelin-de-Cray 	71460
Saint-Mard-de-Vaux 	71640
Saint-Martin-Belle-Roche 	71118
Saint-Martin-d'Auxy 	71390
Saint-Martin-de-Commune 	71490
Saint-Martin-de-Lixy 	71740
Saint-Martin-de-Salencey 	71220
Saint-Martin-du-Lac 	71110
Saint-Martin-du-Mont 	71580
Saint-Martin-du-Tartre 	71460
Saint-Martin-en-Bresse 	71620
Saint-Martin-en-Gâtinois 	71350
Saint-Martin-la-Patrouille 	71460
Saint-Martin-sous-Montaigu 	71640
Saint-Maurice-de-Satonnay 	71260
Saint-Maurice-des-Champs 	71460
Saint-Maurice-en-Rivière 	71620
Saint-Maurice-lès-Châteauneuf 	71740
Saint-Maurice-lès-Couches 	71490
Saint-Micaud 	71460
Saint-Nizier-sur-Arroux 	71190
Saint-Pierre-de-Varennes 	71670
Saint-Pierre-le-Vieux 	71520
Saint-Point 	71520
Saint-Privé 	71390
Saint-Prix 	71990
Saint-Racho 	71800
Saint-Rémy 	71100
Saint-Romain-sous-Gourdon 	71230
Saint-Romain-sous-Versigny 	71420
Saint-Sernin-du-Bois 	71200
Saint-Sernin-du-Plain 	71510
Saint-Symphorien-d'Ancelles 	71570
Saint-Symphorien-de-Marmagne 	71710
Saint-Symphorien-des-Bois 	71800
Saint-Usuge 	71500
Saint-Vallerin 	71390
Saint-Vallier 	71230
Saint-Vérand 	71570
Saint-Vincent-Bragny 	71430
Saint-Vincent-des-Prés 	71250
Saint-Vincent-en-Bresse 	71440
Saint-Yan 	71600
Saint-Ythaire 	71460
Sainte-Cécile 	71250
Sainte-Croix 	71470
Sainte-Foy 	71110
Sainte-Hélène 	71390
Sainte-Radegonde 	71320
Saisy 	71360
Salornay-sur-Guye 	71250
Sampigny-lès-Maranges 	71150
Sancé 	71000
Santilly 	71460
Sanvignes-les-Mines 	71410
Sarry 	71110
Sassangy 	71390
Sassenay 	71530
Saules 	71390
Saunières 	71350
Savianges 	71460
Savigny-en-Revermont 	71580
Savigny-sur-Grosne 	71460
Savigny-sur-Seille 	71440
Semur-en-Brionnais 	71110
Sennecey-le-Grand 	71240
Senozan 	71260
Sens-sur-Seille 	71330
Sercy 	71460
Serley 	71310
Sermesse 	71350
Serrières 	71960
Serrigny-en-Bresse 	71310
Sevrey 	71100
Sigy-le-Châtel 	71250
Simandre 	71290
Simard 	71330
Sivignon 	71220
Sologny 	71960
Solutré-Pouilly 	71960
Sommant 	71540
Sornay 	71500
Suin 	71220
Sully 	71360
Taizé 	71250
Tancon 	71740
Tavernay 	71400
Thil-sur-Arroux 	71190
Thurey 	71440
Tintry 	71490
Torcy 	71210
Torpes 	71270
Toulon-sur-Arroux 	71320
Tournus 	71700
Toutenant 	71350
Tramayes 	71520
Trambly 	71520
Trivy 	71520
Tronchy 	71440
Uchizy 	71700
Uchon 	71190
Uxeau 	71130
Vareilles 	71800
Varenne-l'Arconce 	71110
Varenne-Saint-Germain 	71600
Varennes-le-Grand 	71240
Varennes-lès-Mâcon 	71000
Varennes-Saint-Sauveur 	71480
Varennes-sous-Dun 	71800
Vauban 	71800
Vaudebarrier 	71120
Vaux-en-Pré 	71460
Vendenesse-lès-Charolles 	71120
Vendenesse-sur-Arroux 	71130
Verdun-sur-le-Doubs 	71350
Vergisson 	71960
Vérissey 	71440
Verjux 	71590
Verosvres 	71220
Vers 	71240
Versaugues 	71110
Verzé 	71960
Villegaudin 	71620
Villeneuve-en-Montagne 	71390
Vincelles 	71500
Vindecy 	71110
Vinzelles 	71680
Viré 	71260
Virey-le-Grand 	71530
Viry 	71120
Vitry-en-Charollais 	71600
Vitry-lès-Cluny 	71250
Vitry-sur-Loire 	71140
Volesvres 	71600
Yonne	28861
Accolay 	89460
Aigremont 	89800
Aillant-sur-Tholon 	89110
Aisy-sur-Armançon 	89390
Ancy-le-Franc 	89160
Ancy-le-Libre 	89160
Andryes 	89480
Angely 	89440
Annay-la-Côte 	89200
Annay-sur-Serein 	89310
Annéot 	89200
Annoux 	89440
Appoigny 	89380
Arces-Dilo 	89320
Arcy-sur-Cure 	89270
Argentenay 	89160
Argenteuil-sur-Armançon 	89160
Armeau 	89500
Arthonnay 	89740
Asnières-sous-Bois 	89660
Asquins 	89450
Athie 	89440
Augy 	89290
Auxerre 	89000
Avallon 	89200
Bagneaux 	89190
Baon 	89430
Bassou 	89400
Bazarnes 	89460
Beaumont 	89250
Beauvilliers 	89630
Beauvoir 	89240
Beine 	89800
Bellechaume 	89210
Béon 	89410
Bernouil 	89360
Béru 	89700
Bessy-sur-Cure 	89270
Beugnon 	89570
Bierry-les-Belles-Fontaines 	89420
Blacy 	89440
Blannay 	89200
Bleigny-le-Carreau 	89230
Bléneau 	89220
Bois-d'Arcy 	89660
Bonnard 	89400
Branches 	89113
Brannay 	89150
Brienon-sur-Armançon 	89210
Brion 	89400
Brosses 	89660
Bussières 	89630
Bussy-en-Othe 	89400
Bussy-le-Repos 	89500
Butteaux 	89360
Bœurs-en-Othe 	89770
Carisey 	89360
Censy 	89310
Cérilly 	89320
Cerisiers 	89320
Cézy 	89410
Chablis 	89800
Chailley 	89770
Chambeugle 	89120
Chamoux 	89660
Champcevrais 	89220
Champignelles 	89350
Champigny 	89340
Champlay 	89300
Champlost 	89210
Champs-sur-Yonne 	89290
Champvallon 	89710
Chamvres 	89300
Charbuy 	89113
Charentenay 	89580
Charmoy 	89400
Charny 	89120
Chassignelles 	89160
Chassy 	89110
Chastellux-sur-Cure 	89630
Châtel-Censoir 	89660
Châtel-Gérard 	89310
Chaumont 	89340
Chaumot 	89500
Chemilly-sur-Serein 	89800
Chemilly-sur-Yonne 	89250
Chêne-Arnoult 	89120
Cheney 	89700
Cheny 	89400
Chéroy 	89690
Chéu 	89600
Chevannes 	89240
Chevillon 	89120
Chichée 	89800
Chichery 	89400
Chigy 	89190
Chitry 	89530
Cisery 	89420
Collan 	89700
Collemiers 	89100
Compigny 	89140
Cornant 	89500
Coulangeron 	89580
Coulanges-la-Vineuse 	89580
Coulanges-sur-Yonne 	89480
Coulours 	89320
Courgenay 	89190
Courgis 	89800
Courlon-sur-Yonne 	89140
Courson-les-Carrières 	89560
Courtoin 	89150
Courtois-sur-Yonne 	89100
Coutarnoux 	89440
Crain 	89480
Cravant 	89460
Cruzy-le-Châtel 	89740
Cry 	89390
Cudot 	89116
Cussy-les-Forges 	89420
Cuy 	89140
Dannemoine 	89700
Dicy 	89120
Diges 	89240
Dissangis 	89440
Dixmont 	89500
Dollot 	89150
Domats 	89150
Domecy-sur-Cure 	89450
Domecy-sur-le-Vault 	89200
Dracy 	89130
Druyes-les-Belles-Fontaines 	89560
Dyé 	89360
Egleny 	89240
Egriselles-le-Bocage 	89500
Epineau-les-Voves 	89400
Epineuil 	89700
Escamps 	89240
Escolives-Sainte-Camille 	89290
Esnon 	89210
Etais-la-Sauvin 	89480
Etaule 	89200
Etigny 	89510
Etivey 	89310
Evry 	89140
Festigny 	89480
Flacy 	89190
Fleury-la-Vallée 	89113
Fleys 	89800
Flogny-la-Chapelle 	89360
Foissy-lès-Vézelay 	89450
Foissy-sur-Vanne 	89190
Fontaine-la-Gaillarde 	89100
Fontaines 	89130
Fontenailles 	89560
Fontenay-près-Chablis 	89800
Fontenay-près-Vézelay 	89450
Fontenay-sous-Fouronnes 	89660
Fontenouilles 	89120
Fontenoy 	89520
Fouchères 	89150
Fournaudin 	89320
Fouronnes 	89560
Fresnes 	89310
Fulvy 	89160
Germigny 	89600
Gigny 	89160
Girolles 	89200
Gisy-les-Nobles 	89140
Givry 	89200
Gland 	89740
Grandchamp 	89350
Grimault 	89310
Gron 	89100
Guerchy 	89113
Guillon 	89420
Gurgy 	89250
Gy-l'Evêque 	89580
Hauterive 	89250
Héry 	89550
Irancy 	89290
Island 	89200
Jaulges 	89360
Joigny 	89300
Jouancy 	89310
Joux-la-Ville 	89440
Jouy 	89150
Jully 	89160
Junay 	89700
Jussy 	89290
L'Isle-sur-Serein 	89440
La Belliole 	89150
La Celle-Saint-Cyr 	89116
La Chapelle-sur-Oreuse 	89260
La Chapelle-Vaupelteigne 	89800
La Ferté-Loupière 	89110
La Postolle 	89260
Laborde 	89000
Laduz 	89110
Lailly 	89190
Lain 	89560
Lainsecq 	89520
Lalande 	89130
Laroche-Saint-Cydroine 	89400
Lasson 	89570
Lavau 	89170
Les Bordes 	89500
Les Clérimois 	89190
Les Ormes 	89110
Les Sièges 	89190
Leugny 	89130
Levis 	89520
Lézinnes 	89160
Lichères-près-Aigremont 	89800
Lichères-sur-Yonne 	89660
Lignorelles 	89800
Ligny-le-Châtel 	89144
Lindry 	89240
Lixy 	89140
Looze 	89300
Lucy-le-Bois 	89200
Lucy-sur-Cure 	89270
Lucy-sur-Yonne 	89480
Magny 	89200
Maillot 	89100
Mailly-la-Ville 	89270
Mailly-le-Château 	89660
Malay-le-Grand 	89100
Malay-le-Petit 	89100
Malicorne 	89120
Maligny 	89800
Marchais-Beton 	89120
Marmeaux 	89420
Marsangy 	89500
Massangis 	89440
Mélisey 	89430
Menades 	89450
Mercy 	89210
Méré 	89144
Merry-la-Vallée 	89110
Merry-Sec 	89560
Merry-sur-Yonne 	89660
Mézilles 	89130
Michery 	89140
Migé 	89580
Migennes 	89400
Môlay 	89310
Molesmes 	89560
Molinons 	89190
Molosmes 	89700
Monéteau 	89470
Mont-Saint-Sulpice 	89250
Montacher-Villegardin 	89150
Montigny-la-Resle 	89230
Montillot 	89660
Montréal 	89420
Mouffy 	89560
Moulins-en-Tonnerrois 	89310
Moulins-sur-Ouanne 	89130
Moutiers-en-Puisaye 	89520
Nailly 	89100
Neuilly 	89113
Neuvy-Sautour 	89570
Nitry 	89310
Noé 	89320
Noyers 	89310
Nuits 	89390
Ormoy 	89400
Ouanne 	89560
Pacy-sur-Armançon 	89160
Pailly 	89140
Parly 	89240
Paron 	89100
Paroy-sur-Tholon 	89300
Pasilly 	89310
Passy 	89510
Perceneige 	89260
Percey 	89360
Perreux 	89120
Perrigny 	89000
Perrigny-sur-Armançon 	89390
Pierre-Perthuis 	89450
Piffonds 	89330
Pimelles 	89740
Pisy 	89420
Plessis-Saint-Jean 	89140
Poilly-sur-Serein 	89310
Poilly-sur-Tholon 	89110
Pont-sur-Vanne 	89190
Pont-sur-Yonne 	89140
Pontaubert 	89200
Pontigny 	89230
Pourrain 	89240
Précy-le-Sec 	89440
Précy-sur-Vrin 	89116
Prégilbert 	89460
Préhy 	89800
Provency 	89200
Prunoy 	89120
Quarré-les-Tombes 	89630
Quenne 	89290
Quincerot 	89740
Ravières 	89390
Roffey 	89700
Rogny-les-Sept-Ecluses 	89220
Ronchères 	89170
Rousson 	89500
Rouvray 	89230
Rugny 	89430
Sacy 	89270
Sainpuits 	89520
Saint-Agnan 	89340
Saint-André-en-Terre-Plaine 	89420
Saint-Aubin-Château-Neuf 	89110
Saint-Aubin-sur-Yonne 	89300
Saint-Brancher 	89630
Saint-Bris-le-Vineux 	89530
Saint-Clément 	89100
Saint-Cyr-les-Colons 	89800
Saint-Denis 	89100
Saint-Denis-sur-Ouanne 	89120
Saint-Fargeau 	89170
Saint-Florentin 	89600
Saint-Georges-sur-Baulche 	89000
Saint-Germain-des-Champs 	89630
Saint-Julien-du-Sault 	89330
Saint-Léger-Vauban 	89630
Saint-Loup-d'Ordon 	89330
Saint-Martin-d'Ordon 	89330
Saint-Martin-des-Champs 	89170
Saint-Martin-du-Tertre 	89100
Saint-Martin-sur-Armançon 	89700
Saint-Martin-sur-Ocre 	89110
Saint-Martin-sur-Ouanne 	89120
Saint-Maurice-aux-Riches-Hommes 	89190
Saint-Maurice-le-Vieil 	89110
Saint-Maurice-Thizouaille 	89110
Saint-Moré 	89270
Saint-Père 	89450
Saint-Privé 	89220
Saint-Romain-le-Preux 	89116
Saint-Sauveur-en-Puisaye 	89520
Saint-Sérotin 	89140
Saint-Valérien 	89150
Sainte-Colombe 	89440
Sainte-Colombe-sur-Loing 	89520
Sainte-Magnance 	89420
Sainte-Pallaye 	89460
Sainte-Vertu 	89310
Saints 	89520
Saligny 	89100
Sambourg 	89160
Santigny 	89420
Sarry 	89310
